brand_model,year,mileage,price,insurance,gearbox_type,gearbox_health,motor_status,body_status,chassis_status,url
,,,,,,,,,,https://divar.ir/v/%D8%AF%D9%86%D8%A7-%D8%A7%D8%AA%D9%88%D9%85%D8%A7%D8%AA-%D8%A7%D9%BE%D8%B4%D9%86%D8%A7%D9%84-%D8%AA%D9%88%D8%B1%D8%A8%D9%88-%D9%85%D8%AF%D9%84-%DB%B1%DB%B4%DB%B0%DB%B3/gaHJGlRT?tracker_session_id=fa806714-ef12-44a5-8775-e769ff4b5245_gaHJGlRT_N
دنا پلاس اتوماتیک,۱۴۰۴ - ۲۰۲۵,۴۷۰۰۰,"۲,۳۱۰,۰۰۰,۰۰۰ تومان",۷ ماه,اتوماتیک,سالم و پلمپ,سالم,سالم و بی‌خط و خش,سالم و پلمپ,https://divar.ir/v/%D8%AF%D9%86%D8%A7-1404-%D8%A7%D8%AA%D9%88%D9%85%D8%A7%D8%AA/gaz4toQ2?tracker_session_id=fa806714-ef12-44a5-8775-e769ff4b5245_gaz4toQ2_N
دنا پلاس 5 دنده ساده EF7,۱۴۰۴ - ۲۰۲۵,۵۰۰۰,"۱,۹۴۰,۰۰۰,۰۰۰ تومان",۲ ماه,دنده‌ای,سالم و پلمپ,سالم,سالم و بی‌خط و خش,سالم و پلمپ,https://divar.ir/v/%D8%AF%D9%86%D8%A7-%D9%BE%D9%84%D8%A7%D8%B3-%DB%B6%D8%AF%D9%86%D8%AF%D9%87-%DB%B5-%D8%AA%D8%A7-%DA%A9%D8%A7%D8%B1/gaH9GRce?tracker_session_id=fa806714-ef12-44a5-8775-e769ff4b5245_gaH9GRce_N
دنا پلاس 5 دنده ساده EF7,۱۴۰۱ - ۲۰۲۲,۱۰۰۰۰۰,"۱,۷۰۰,۰۰۰,۰۰۰ تومان",۸ ماه,دنده‌ای,سالم و پلمپ,سالم,سالم و بی‌خط و خش,سالم و پلمپ,https://divar.ir/v/%D8%AF%D9%86%D8%A7-%D9%BE%D9%84%D8%A7%D8%B3-%D8%AA%DB%8C%D9%BE%DB%B2/gaHNm39f?tracker_session_id=fa806714-ef12-44a5-8775-e769ff4b5245_gaHNm39f_N
دنا پلاس EF7 اتوماتیک توربو آپشنال,۱۴۰۳ - ۲۰۲۴,۳۱۰۰۰,"۲,۳۱۰,۰۰۰,۰۰۰ تومان",۶ ماه,اتوماتیک,سالم و پلمپ,سالم,سالم و بی‌خط و خش,سالم و پلمپ,https://divar.ir/v/%D8%AF%D9%86%D8%A7%D8%A7%D8%AA%D9%88%D9%85%D8%A7%D8%AA/gas8_xG9?tracker_session_id=fa806714-ef12-44a5-8775-e769ff4b5245_gas8_xG9_N
دنا معمولی تیپ ۲,۱۳۹۸ - ۲۰۱۹,۱۸۷۰۰۰,"۱,۴۳۰,۰۰۰,۰۰۰ تومان",۶ ماه,دنده‌ای,سالم و پلمپ,سالم,خط و خش جزیی,سالم و پلمپ,https://divar.ir/v/%D8%AF%D9%86%D8%A7-%D9%85%D8%B9%D9%85%D9%88%D9%84%DB%8C-%D9%85%D8%AF%D9%84-98-%D9%81%D8%B1%D9%88%D8%B4-%D9%81%D9%88%D8%B1%DB%8C/gaGlYP7m?tracker_session_id=fa806714-ef12-44a5-8775-e769ff4b5245_gaGlYP7m_N
دنا پلاس اتوماتیک,۱۴۰۲ - ۲۰۲۳,۹۵۰۰۰,"۲,۰۰۰,۰۰۰,۰۰۰ تومان",۱۲ ماه,اتوماتیک,سالم و پلمپ,سالم,سالم و بی‌خط و خش,سالم و پلمپ,https://divar.ir/v/%D8%AF%D9%86%D8%A7-%D9%BE%D9%84%D8%A7%D8%B3-%D8%A7%D8%AA%D9%88%D9%85%D8%A7%D8%AA%DB%8C%DA%A9-%D9%85%D8%AF%D9%84%DB%B1%DB%B4%DB%B0%DB%B2/gaGl8LcK?tracker_session_id=fa806714-ef12-44a5-8775-e769ff4b5245_gaGl8LcK_N
دنا پلاس EF7 اتوماتیک توربو آپشنال,۱۴۰۴ - ۲۰۲۵,۹۰۰۰,"۲,۵۷۰,۰۰۰,۰۰۰ تومان",,اتوماتیک,سالم و پلمپ,سالم,سالم و بی‌خط و خش,سالم و پلمپ,https://divar.ir/v/%D8%AE%D9%88%D8%AF%D8%B1%D9%88-%D8%AF%D9%86%D8%A7-%D8%A7%D8%AA%D9%88%D9%85%D8%A7%D8%AA-%D8%AA%D9%88%D8%B1%D8%A8%D9%88-%D8%A2%D9%BE%D8%B4%D9%86%D8%A7%D9%84-%D8%AA%D8%AD%D9%88%DB%8C%D9%84-%D8%A8%D8%B1%D8%AC-%DB%B1%DB%B0-%D8%B3%D8%A7%D9%84-%DB%B4%DB%B0%DB%B4/gaG1HfLM?tracker_session_id=fa806714-ef12-44a5-8775-e769ff4b5245_gaG1HfLM_N
,,,,,,,,,,https://divar.ir/v/%D8%AF%D9%86%D8%A7-%D9%BE%D9%84%D8%A7%D8%B3-%D9%85%D8%AF%D9%84-97-%D9%81%D9%88%D9%84/gaHFHtgq?tracker_session_id=fa806714-ef12-44a5-8775-e769ff4b5245_gaHFHtgq_N
دنا پلاس 6 دنده توربو,۱۴۰۱ - ۲۰۲۲,۷۹۰۰۰,"۱,۹۵۷,۰۰۰,۰۰۰ تومان",۱۲ ماه,دنده‌ای,سالم و پلمپ,سالم,سالم و بی‌خط و خش,سالم و پلمپ,https://divar.ir/v/%D8%AF%D9%86%D8%A7-%D9%BE%D9%84%D8%A7%D8%B3-%DB%B6%D8%AF%D9%86%D8%AF%D9%87-%D8%AA%D9%88%D8%B1%D8%A8%D9%88-%D9%85%D8%AF%D9%84-%DB%B1%DB%B4%DB%B0%DB%B1/ga3U-fGW?tracker_session_id=fa806714-ef12-44a5-8775-e769ff4b5245_ga3U-fGW_N
دنا پلاس 6 دنده دستی EF7P,۱۴۰۳ - ۲۰۲۴,۳۶۰۰۰,"۱,۸۰۰,۰۰۰,۰۰۰ تومان",۱۲ ماه,دنده‌ای,سالم و پلمپ,سالم,سالم و بی‌خط و خش,سالم و پلمپ,https://divar.ir/v/%D8%AF%D9%86%D8%A7-%D9%BE%D9%84%D8%A7%D8%B3-%DB%B6%D8%AF%D9%86%D8%AF%D9%87-%DB%B4%DB%B0%DB%B3/gaHZVblF?tracker_session_id=fa806714-ef12-44a5-8775-e769ff4b5245_gaHZVblF_N
دنا پلاس 6 دنده توربو,۱۴۰۱ - ۲۰۲۲,۵۲۰۰۰,"۱,۹۳۰,۰۰۰,۰۰۰ تومان",۵ ماه,دنده‌ای,سالم و پلمپ,سالم,سالم و بی‌خط و خش,سالم و پلمپ,https://divar.ir/v/%D9%81%D8%B1%D9%88%D8%B4/gaG9Gs9-?tracker_session_id=fa806714-ef12-44a5-8775-e769ff4b5245_gaG9Gs9-_P
دنا پلاس EF7 اتوماتیک توربو آپشنال,۱۴۰۳ - ۲۰۲۴,۳۲۰۰۰,"۲,۲۵۰,۰۰۰,۰۰۰ تومان",۱ ماه,اتوماتیک,سالم و پلمپ,سالم,خط و خش جزیی,سالم و پلمپ,https://divar.ir/v/%D8%AF%D9%86%D8%A7-%D9%BE%D9%84%D8%A7%D8%B3-%D8%A7%D8%AA%D9%88%D9%85%D8%A7%D8%AA-1403/gaG1KEqX?tracker_session_id=fa806714-ef12-44a5-8775-e769ff4b5245_gaG1KEqX_N
دنا پلاس 6 دنده دستی EF7P,۱۴۰۲ - ۲۰۲۳,۴۶۰۰۰,"۱,۹۳۰,۰۰۰,۰۰۰ تومان",۱۲ ماه,دنده‌ای,سالم و پلمپ,سالم,سالم و بی‌خط و خش,سالم و پلمپ,https://divar.ir/v/%D8%AF%D9%86%D8%A7%D9%BE%D9%84%D8%A7%D8%B3-%D8%AA%D9%88%D8%B1%D8%A8%D9%88-%D8%B4%D8%B4-%D8%AF%D9%86%D8%AF%D9%87-%D8%A7%D9%BE%D8%B4%D9%86%D8%A7%D9%84/gaGpr4Se?tracker_session_id=fa806714-ef12-44a5-8775-e769ff4b5245_gaGpr4Se_N
