brand_model,year,mileage,price,insurance,gearbox_type,gearbox_health,motor_status,body_status,chassis_status,url
هیوندای سانتافه ix 45 2400cc,۲۰۱۵,۱۸۰۰۰۰,"۵,۸۵۰,۰۰۰,۰۰۰ تومان",,اتوماتیک,سالم و پلمپ,سالم,سالم و بی‌خط و خش,سالم و پلمپ,https://divar.ir/v/%D8%B3%D8%A7%D9%86%D8%AA%D8%A7%D9%81%D9%87-%DB%B2%DB%B0%DB%B1%DB%B5-%D8%A7%D9%82%D8%B3%D8%A7%D8%B7-%DB%B2-%D8%A7%D9%84%DB%8C-%DB%B1%DB%B8-%D9%85%D8%A7%D9%87/gaFRCDfO?tracker_session_id=8fac5c32-b844-4d6a-b4df-47d6e4df03ba_gaFRCDfO_N
هیوندای سانتافه ix 45 2400cc,۲۰۱۵,۱۳۰۰۰۰,"۴,۸۹۰,۰۰۰,۰۰۰ تومان",۶ ماه,اتوماتیک,سالم و پلمپ,سالم,رنگ‌شدگی در ۱ ناحیه,سالم و پلمپ,https://divar.ir/v/%D8%B3%D8%A7%D9%86%D8%AA%D8%A7%D9%81%D9%87-%DB%B2%DB%B0%DB%B1%DB%B5-%D9%81%D9%88%D9%84-%D8%B2%DB%8C%D8%B1-%D9%82%DB%8C%D9%85%D8%AA-%D9%81%D9%88%D8%B1%DB%8C/gaDVpH0V?tracker_session_id=8fac5c32-b844-4d6a-b4df-47d6e4df03ba_gaDVpH0V_N
هیوندای سانتافه ix 45 3500cc,۲۰۱۲,۱۹۰۰۰۰,"۶,۵۰۰,۰۰۰,۰۰۰ تومان",,اتوماتیک,سالم و پلمپ,سالم,سالم و بی‌خط و خش,سالم و پلمپ,https://divar.ir/v/%D8%B3%D8%A7%D9%86%D8%AA%D8%A7%D9%81%D9%87-%D9%85%D8%AF%D9%84-%DB%B2%DB%B0%DB%B1%DB%B2/gaE58yAQ?tracker_session_id=8fac5c32-b844-4d6a-b4df-47d6e4df03ba_gaE58yAQ_N
هیوندای سانتافه ix 45 2700cc,۲۰۰۸,۲۶۵۰۰۰,"۴,۲۵۰,۰۰۰,۰۰۰ تومان",۱۲ ماه,اتوماتیک,سالم و پلمپ,سالم,سالم و بی‌خط و خش,سالم و پلمپ,https://divar.ir/v/%D8%B3%D8%A7%D9%86%D8%AA%D8%A7%D9%81%D9%87-%DB%B2%DB%B0%DB%B0%DB%B8-%D9%81%D9%88%D9%84-%D8%AF%D9%88-%D8%AF%DB%8C%D9%81%D8%B1%D8%A7%D9%86%D8%B3%DB%8C%D9%84-%D8%AF%D8%B1%D8%AC%D9%87-%DB%8C%DA%A9/gaCNC3e5?tracker_session_id=8fac5c32-b844-4d6a-b4df-47d6e4df03ba_gaCNC3e5_N
هیوندای سانتافه ix 45 3500cc,۲۰۱۰,۲۷۰۰۰۰,"۵,۰۵۰,۰۰۰,۰۰۰ تومان",۱۲ ماه,اتوماتیک,سالم و پلمپ,سالم,سالم و بی‌خط و خش,سالم و پلمپ,https://divar.ir/v/%D8%B3%D8%A7%D9%86%D8%AA%D8%A7%D9%81%D9%87-%DB%B2%DB%B0%DB%B1%DB%B0-%D9%85%D9%88%D8%AA%D9%88%D8%B1-%D8%A8%D8%B2%D8%B1%DA%AF-%D8%A8%D8%AF%D9%88%D9%86-%D8%B1%D9%86%DA%AF-%D8%AF%D8%B1%D8%AC%D9%87/gaDFZuK3?tracker_session_id=8fac5c32-b844-4d6a-b4df-47d6e4df03ba_gaDFZuK3_N
هیوندای سانتافه ix 45 2400cc,۲۰۱۵,۲۲۶۰۰۰,"۵,۲۵۰,۰۰۰,۰۰۰ تومان",۱۰ ماه,اتوماتیک,سالم و پلمپ,سالم,سالم و بی‌خط و خش,سالم و پلمپ,https://divar.ir/v/%D8%B3%D8%A7%D9%86%D8%AA%D8%A7%D9%81%D9%87-%DB%B2%DB%B0%DB%B1%DB%B5/gaFhHd7w?tracker_session_id=8fac5c32-b844-4d6a-b4df-47d6e4df03ba_gaFhHd7w_N
هیوندای سانتافه ix 45 2400cc,۲۰۱۵,۱۳۵۰۰۰,"۵,۸۰۰,۰۰۰,۰۰۰ تومان",۱۲ ماه,اتوماتیک,سالم و پلمپ,سالم,سالم و بی‌خط و خش,سالم و پلمپ,https://divar.ir/v/%D9%81%D8%B1%D9%88%D8%B4-%D9%85%D8%A7%D8%B4%DB%8C%D9%86/gaFNW6Xa?tracker_session_id=8fac5c32-b844-4d6a-b4df-47d6e4df03ba_gaFNW6Xa_N
هیوندای سانتافه ix 45 2400cc,۲۰۱۵,۱۳۵۰۰۰,"۵,۴۹۰,۰۰۰,۰۰۰ تومان",۶ ماه,اتوماتیک,سالم و پلمپ,سالم,رنگ‌شدگی در ۲ ناحیه,سالم و پلمپ,https://divar.ir/v/%D8%B3%D8%A7%D9%86%D8%AA%D8%A7%D9%81%D9%87-%DB%B2%DB%B0%DB%B1%DB%B5-%D9%81%D9%88%D9%84-%DA%A9%D8%A7%D9%85%D9%84/gaDR5qhK?tracker_session_id=8fac5c32-b844-4d6a-b4df-47d6e4df03ba_gaDR5qhK_N
هیوندای سانتافه ix 45 2400cc,۲۰۱۵,۱۷۰۰۰۰,"۴,۴۰۰,۰۰۰,۰۰۰ تومان",۸ ماه,اتوماتیک,سالم و پلمپ,سالم,سالم و بی‌خط و خش,سالم و پلمپ,https://divar.ir/v/%D8%B3%D8%A7%D9%86%D8%AA%D8%A7%D9%81%D9%87-%D8%AC%D9%81%D8%AA-%D9%81%D9%88%D9%84-%D8%A2%D9%BE%D8%B4%D9%86-%DB%B2%DB%B0%DB%B1%DB%B5-%D8%A8%DB%8C-%D8%B1%D9%86%DA%AF/gau8GT2k?tracker_session_id=8fac5c32-b844-4d6a-b4df-47d6e4df03ba_gau8GT2k_N
هیوندای سانتافه ix 45 2400cc,۲۰۱۵,۲۲۰۰۰۰,"۵,۸۵۰,۰۰۰,۰۰۰ تومان",۹ ماه,اتوماتیک,سالم و پلمپ,سالم,سالم و بی‌خط و خش,سالم و پلمپ,https://divar.ir/v/%D8%B3%D8%A7%D9%86%D8%AA%D8%A7%D9%81%D9%87-%DB%B2%DB%B0%DB%B1%DB%B5-%D9%81%D9%88%D9%84-%DA%A9%D8%A7%D9%85%D9%84/gaDN9hih?tracker_session_id=8fac5c32-b844-4d6a-b4df-47d6e4df03ba_gaDN9hih_N
