brand_model,year,mileage,price,insurance,gearbox_type,gearbox_health,motor_status,body_status,chassis_status,url
جک S5 اتوماتیک,۱۳۹۹ - ۲۰۲۰,۱۱۹۰۰۰,"۳,۴۰۰,۰۰۰,۰۰۰ تومان",۶ ماه,اتوماتیک,سالم و پلمپ,سالم,سالم و بی‌خط و خش,سالم و پلمپ,https://divar.ir/v/%D8%AC%DA%A9-s5-%D8%A7%D8%AA%D9%88%D9%85%D8%A7%D8%AA-%D9%85%D8%AF%D9%84-1399/gaG9kEqb?tracker_session_id=4bb6204b-02a6-4764-a1da-93389a9493c2_gaG9kEqb_N
جک S5 اتوماتیک,۱۳۹۶ - ۲۰۱۷,۱۲۰۰۰۰,"۲,۶۸۰,۰۰۰,۰۰۰ تومان",۹ ماه,اتوماتیک,سالم و پلمپ,سالم,سالم و بی‌خط و خش,سالم و پلمپ,https://divar.ir/v/%D8%AC%DA%A9s5-%D9%85%D8%AF%D9%84%DB%B1%DB%B3%DB%B9%DB%B6-%D8%A7%D8%AA%D9%88%D9%85%D8%A7%D8%AA/gaFFRnEy?tracker_session_id=4bb6204b-02a6-4764-a1da-93389a9493c2_gaFFRnEy_N
جک S5 دنده‌ای,۱۳۹۵ - ۲۰۱۶,۱۵۰۰۰۰,"۲,۳۰۰,۰۰۰,۰۰۰ تومان",۵ ماه,دنده‌ای,سالم و پلمپ,سالم,سالم و بی‌خط و خش,سالم و پلمپ,https://divar.ir/v/%D8%AC%DA%A9s5%D9%85%D8%AF%D9%84%DB%B9%DB%B5%D8%AF%D9%86%D8%AF%D9%87-%D8%A7%DB%8C/gaEZbhA2?tracker_session_id=4bb6204b-02a6-4764-a1da-93389a9493c2_gaEZbhA2_N
جک S5 اتوماتیک,۱۳۹۶ - ۲۰۱۷,۱۴۰۰۰۰,"۲,۷۵۰,۰۰۰,۰۰۰ تومان",۴ ماه,اتوماتیک,سالم و پلمپ,سالم,سالم و بی‌خط و خش,سالم و پلمپ,https://divar.ir/v/%D8%AC%DA%A9s5/gaGFlJYb?tracker_session_id=4bb6204b-02a6-4764-a1da-93389a9493c2_gaGFlJYb_N
جک S5 اتوماتیک,۱۳۹۶ - ۲۰۱۷,۴۷۰۰۰,"۲,۹۵۰,۰۰۰,۰۰۰ تومان",۸ ماه,اتوماتیک,سالم و پلمپ,سالم,سالم و بی‌خط و خش,سالم و پلمپ,https://divar.ir/v/%D9%81%D8%B1%D9%88%D8%B4-%D8%AE%D9%88%D8%AF%D8%B1%D9%88-%D8%AC%DA%A9-%D8%A7%D8%B3-%D9%81%D8%A7%DB%8C%D9%88-%D9%85%D8%AF%D9%84-%DB%B9%DB%B6-%DA%A9%D9%85-%DA%A9%D8%A7%D8%B1%DA%A9%D8%B1%D8%AF/gaFhnIUV?tracker_session_id=4bb6204b-02a6-4764-a1da-93389a9493c2_gaFhnIUV_N
جک S5 اتوماتیک,۱۳۹۶ - ۲۰۱۷,۷۲۰۰۰,"۲,۵۵۰,۰۰۰,۰۰۰ تومان",۱۱ ماه,اتوماتیک,سالم و پلمپ,سالم,سالم و بی‌خط و خش,سالم و پلمپ,https://divar.ir/v/%D8%AC%DA%A9-s5-%D9%85%D8%AF%D9%84-%DB%B9%DB%B6-%D8%A7%D8%AA%D9%88%D9%85%D8%A7%D8%AA/gaEV9bDJ?tracker_session_id=4bb6204b-02a6-4764-a1da-93389a9493c2_gaEV9bDJ_N
جک S5 اتوماتیک,۱۳۹۷ - ۲۰۱۸,۱۱۷۰۰۰,"۲,۶۵۰,۰۰۰,۰۰۰ تومان",۹ ماه,اتوماتیک,سالم و پلمپ,سالم,خط و خش جزیی,سالم و پلمپ,https://divar.ir/v/%D9%85%D8%A7%D8%B4%DB%8C%D9%86/gatYZLIy?tracker_session_id=4bb6204b-02a6-4764-a1da-93389a9493c2_gatYZLIy_N
جک S5 نیوفیس,۱۴۰۲ - ۲۰۲۳,۸۸۰۰۰,"۳,۳۰۰,۰۰۰,۰۰۰ تومان",۶ ماه,اتوماتیک,سالم و پلمپ,سالم,سالم و بی‌خط و خش,سالم و پلمپ,https://divar.ir/v/%D8%AC%DA%A9-s5%D9%85%D8%AF%D9%84%DB%B1%DB%B4%DB%B0%DB%B2/gaERL8QO?tracker_session_id=4bb6204b-02a6-4764-a1da-93389a9493c2_gaERL8QO_N
جک S5 اتوماتیک,۱۳۹۹ - ۲۰۲۰,۸۰۰۰۰,"۳,۷۰۰,۰۰۰,۰۰۰ تومان",,,,تعیین‌نشده,سالم و بی‌خط و خش,تعیین‌نشده,https://divar.ir/v/%D8%AC%DA%A9-s5-%D9%85%D8%AF%D9%84-%DB%B9%DB%B9/gaGBn-tN?tracker_session_id=4bb6204b-02a6-4764-a1da-93389a9493c2_gaGBn-tN_N
جک S5 اتوماتیک,۱۳۹۹ - ۲۰۲۰,۸۵۰۰۰,"۳,۲۰۰,۰۰۰,۰۰۰ تومان",۹ ماه,اتوماتیک,سالم و پلمپ,سالم,سالم و بی‌خط و خش,سالم و پلمپ,https://divar.ir/v/%D8%AC%DA%A9-s5-1399-%D8%A8%DB%8C-%D8%B1%D9%86%DA%AF/gauMoNhG?tracker_session_id=4bb6204b-02a6-4764-a1da-93389a9493c2_gauMoNhG_N
