brand_model,year,mileage,price,insurance,gearbox_type,gearbox_health,motor_status,body_status,chassis_status,url
,,,,,,,,,,https://divar.ir/v/%D8%B3%D8%B1%D8%A7%D8%AA%D9%88-%DB%B2%DB%B0%DB%B0%DB%B0-%DB%B9%DB%B7-%D8%A8%DB%8C-%D8%B1%D9%86%DA%AF/gaExL7ug?tracker_session_id=09ab6fc4-8041-46c1-9b3e-50259e94383b_gaExL7ug_N
,,,,,,,,,,https://divar.ir/v/%DA%A9%DB%8C%D8%A7-%D8%B3%D8%B1%D8%A7%D8%AA%D9%88-%D8%A7%D9%BE%D8%B4%D9%86%D8%A7%D9%84/gaFBBpvo?tracker_session_id=09ab6fc4-8041-46c1-9b3e-50259e94383b_gaFBBpvo_N
کیا سراتو اتوماتیک 2000cc,۲۰۱۶,۲۵۰۰۰,"۱,۷۵۰,۰۰۰,۰۰۰ تومان",,اتوماتیک,سالم و پلمپ,سالم,اوراقی,سالم و پلمپ,https://divar.ir/v/%D8%B3%D8%B1%D8%A7%D8%AA%D9%88-%D8%AA%D8%B5%D8%A7%D8%AF%D9%81%DB%8C-%D8%B3%D8%B1%D8%A7%D8%AA%D9%88-%D8%B3%D9%88%D8%AE%D8%AA%D9%87-%D8%A7%D9%88%D8%B1%D8%A7%D9%82%DB%8C-%D8%B3%D8%B1%D8%A7%D8%AA%D9%88-%D8%A7%D8%B3%D8%AA%D9%88%DA%A9-%D8%B3%D8%B1%D8%A7%D8%AA%D9%88/gaGVqCBV?tracker_session_id=09ab6fc4-8041-46c1-9b3e-50259e94383b_gaGVqCBV_N
کیا سراتو اتوماتیک 2000cc,۲۰۱۶,۱۸۹۰۰۰,"۳,۲۵۰,۰۰۰,۰۰۰ تومان",۷ ماه,اتوماتیک,سالم و پلمپ,سالم,سالم و بی‌خط و خش,سالم و پلمپ,https://divar.ir/v/%D8%B3%D8%B1%D8%A7%D8%AA%D9%88-%DB%B2%DB%B0%DB%B0%DB%B0%D8%A8%DB%8C-%D8%B1%D9%86%DA%AF/gaFtjYix?tracker_session_id=09ab6fc4-8041-46c1-9b3e-50259e94383b_gaFtjYix_N
کیا سراتو اتوماتیک 2000cc,۲۰۱۵,۱۵۵۰۰۰,"۴,۵۹۰,۰۰۰,۰۰۰ تومان",۷ ماه,اتوماتیک,سالم و پلمپ,سالم,سالم و بی‌خط و خش,سالم و پلمپ,https://divar.ir/v/%D8%B3%D8%B1%D8%A7%D8%AA%D9%88-%D9%88%D8%A7%D8%B1%D8%AF%D8%A7%D8%AA%DB%8C-yd-%D9%85%D8%AF%D9%84-%DB%B2%DB%B0%DB%B1%DB%B5-%D8%A8%D8%AF%D9%88%D9%86-%D8%B1%D9%86%DA%AF/ga_AprlZ?tracker_session_id=09ab6fc4-8041-46c1-9b3e-50259e94383b_ga_AprlZ_N
کیا سراتو مونتاژ اتوماتیک آپشنال 2000cc,۱۳۹۷ - ۲۰۱۸,۷۴۰۰۰,"۴,۴۰۰,۰۰۰,۰۰۰ تومان",۹ ماه,اتوماتیک,سالم و پلمپ,سالم,سالم و بی‌خط و خش,سالم و پلمپ,https://divar.ir/v/%DA%A9%DB%8C%D8%A7-%D8%B3%D8%B1%D8%A7%D8%AA%D9%88-%D9%85%D9%88%D9%86%D8%AA%D8%A7%DA%98-%D9%BE%D9%84%D8%A7%DA%A9-%D9%85%D9%84%DB%8C/gaDdb2eI?tracker_session_id=09ab6fc4-8041-46c1-9b3e-50259e94383b_gaDdb2eI_N
کیا سراتو مونتاژ اتوماتیک آپشنال 2000cc,۱۳۹۶ - ۲۰۱۷,۲۱۰۰۰۰,"۳,۷۰۰,۰۰۰,۰۰۰ تومان",۱۰ ماه,اتوماتیک,سالم و پلمپ,سالم,سالم و بی‌خط و خش,سالم و پلمپ,https://divar.ir/v/%D8%AE%D9%88%D8%AF%D8%B1%D9%88-%D8%B3%D8%B1%D8%A7%D8%AA%D9%88-%D8%A2%D8%A8%D8%B4%D9%86%D8%A7%D9%84/gaGJ5Yl1?tracker_session_id=09ab6fc4-8041-46c1-9b3e-50259e94383b_gaGJ5Yl1_N
کیا سراتو اتوماتیک 2000cc,۲۰۱۰,۶۰۰۰۰,"۳,۳۰۰,۰۰۰,۰۰۰ تومان",۹ ماه,اتوماتیک,سالم و پلمپ,سالم,رنگ‌شدگی در ۱ ناحیه,سالم و پلمپ,https://divar.ir/v/%D8%B3%D8%B1%D8%A7%D8%AA%D9%88-%DB%B2%DB%B0%DB%B1%DB%B0/gaDZJ11y?tracker_session_id=09ab6fc4-8041-46c1-9b3e-50259e94383b_gaDZJ11y_N
کیا سراتو مونتاژ دنده‌ای 1600cc,۱۳۹۶ - ۲۰۱۷,۱۱۰۰۰۰,"۳,۰۷۰,۰۰۰,۰۰۰ تومان",۶ ماه,دنده‌ای,سالم و پلمپ,سالم,سالم و بی‌خط و خش,سالم و پلمپ,https://divar.ir/v/%D8%B3%D8%B1%D8%A7%D8%AA%D9%88-%D8%AF%D9%86%D8%AF%D9%87-%DB%B9%DB%B6/gaE5d4t3?tracker_session_id=09ab6fc4-8041-46c1-9b3e-50259e94383b_gaE5d4t3_N
کیا سراتو مونتاژ اتوماتیک آپشنال 2000cc,۱۳۹۷ - ۲۰۱۸,۸۹۰۰۰,"۱۰۰,۰۰۰ تومان",,,,سالم,سالم و بی‌خط و خش,سالم و پلمپ,https://divar.ir/v/%D8%B3%D8%B1%D8%A7%D8%AA%D9%88-%DB%B9%DB%B7-%D8%A7%D9%BE%D8%B4%D9%86%D8%A7%D9%84-%D8%AF%D8%B1-%D8%AD%D8%AF-%D8%B5%D9%81%D8%B1/galkxXqY?tracker_session_id=09ab6fc4-8041-46c1-9b3e-50259e94383b_galkxXqY_N
