brand_model,year,mileage,price,insurance,gearbox_type,gearbox_health,motor_status,body_status,chassis_status,url
ام‌وی‌ام X22 دنده‌ای اسپرت اکسلنت,۱۳۹۹ - ۲۰۲۰,۹۲۰۰۰,"۱,۸۸۰,۰۰۰,۰۰۰ تومان",۱۲ ماه,دنده‌ای,سالم و پلمپ,سالم,سالم و بی‌خط و خش,سالم و پلمپ,https://divar.ir/v/x22/gaFpAceK?tracker_session_id=aac870a1-fe81-441f-a9e4-d5e30d5886f4_gaFpAceK_N
ام‌وی‌ام X22 Pro IE,۱۴۰۱ - ۲۰۲۲,۵۳۲۰۰,"۲,۲۵۰,۰۰۰,۰۰۰ تومان",۱۲ ماه,اتوماتیک,سالم و پلمپ,سالم,خط و خش جزیی,سالم و پلمپ,https://divar.ir/v/%D8%A7%DB%8C%DA%A9%D8%B3-%DB%B2%DB%B2-%D9%BE%D8%B1%D9%88-ie/gaugF9H3?tracker_session_id=aac870a1-fe81-441f-a9e4-d5e30d5886f4_gaugF9H3_N
,,,,,,,,,,https://divar.ir/v/x-22pro-mt/gaF1VA0O?tracker_session_id=aac870a1-fe81-441f-a9e4-d5e30d5886f4_gaF1VA0O_N
ام‌وی‌ام X22 دنده‌ای اسپرت اکسلنت,۱۴۰۴ - ۲۰۲۵,۴۰۰۰,"۲,۴۵۰,۰۰۰,۰۰۰ تومان",,دنده‌ای,,تعیین‌نشده,سالم و بی‌خط و خش,سالم و پلمپ,https://divar.ir/v/x22-pro%D8%AF%D8%B3%D8%AA%DB%8C/ga_0__0r?tracker_session_id=aac870a1-fe81-441f-a9e4-d5e30d5886f4_ga_0__0r_N
ام وی ام X22pro MT,۱۴۰۳ - ۲۰۲۴,۲۰۰۰,"۲,۳۰۰,۰۰۰,۰۰۰ تومان",۴ ماه,دنده‌ای,,سالم,سالم و بی‌خط و خش,سالم و پلمپ,https://divar.ir/v/%D9%81%D8%B1%D9%88%D8%B4-x22pro-%D8%AF%D9%86%D8%AF%D9%87/gaGVLfxP?tracker_session_id=aac870a1-fe81-441f-a9e4-d5e30d5886f4_gaGVLfxP_N
ام وی ام X22pro MT,۱۴۰۴ - ۲۰۲۵,۱۴۰۰۰,"۲,۴۲۰,۰۰۰,۰۰۰ تومان",۱۲ ماه,دنده‌ای,,تعیین‌نشده,سالم و بی‌خط و خش,تعیین‌نشده,https://divar.ir/v/%D9%81%D8%B1%D9%88%D8%B4-%D9%81%D9%88%D8%B1%DB%8C-%D8%A7%D9%85-%D9%88%DB%8C-%D8%A7%D9%85-x22-pro-%D9%85%D8%B4%DA%A9%DB%8C/gaCFVtJv?tracker_session_id=aac870a1-fe81-441f-a9e4-d5e30d5886f4_gaCFVtJv_N
ام‌وی‌ام X22 Pro IE,۱۴۰۳ - ۲۰۲۴,۱۳۰۰۰,"۲,۸۵۰,۰۰۰,۰۰۰ تومان",۸ ماه,اتوماتیک,سالم و پلمپ,سالم,سالم و بی‌خط و خش,سالم و پلمپ,https://divar.ir/v/%D8%A7%DB%8C%DA%A9%D8%B3-%DB%B2%DB%B2%D8%A7%D8%AA%D9%88%D9%85%D8%A7%D8%AA-%D8%AA%D8%AD%D9%88%DB%8C%D9%84-%D8%A7%D8%B3%D9%81%D9%86%D8%AF%DA%86%D9%87%D8%A7%D8%B1%D8%B5%D8%AF-%D9%88-%D8%B3%D9%87-%DB%B1%DB%B3%DB%B0%DB%B0%DB%B0%D8%AA%D8%A7/gaGNO4Er?tracker_session_id=aac870a1-fe81-441f-a9e4-d5e30d5886f4_gaGNO4Er_N
ام وی ام X22pro MT,۱۴۰۴ - ۲۰۲۵,۰,"۲,۳۸۰,۰۰۰,۰۰۰ تومان",۹ ماه,دنده‌ای,سالم و پلمپ,سالم,سالم و بی‌خط و خش,سالم و پلمپ,https://divar.ir/v/%D8%A7%D9%85-%D9%88%DB%8C-%D8%A7%D9%85-x22-pro-%D9%85%D8%AF%D9%84-%DB%B1%DB%B4%DB%B0%DB%B4/gaxwgn3n?tracker_session_id=aac870a1-fe81-441f-a9e4-d5e30d5886f4_gaxwgn3n_N
ام وی ام X22pro MT,۱۴۰۴ - ۲۰۲۵,۰,"۲,۵۵۰,۰۰۰,۰۰۰ تومان",۱۲ ماه,دنده‌ای,سالم و پلمپ,سالم,سالم و بی‌خط و خش,سالم و پلمپ,https://divar.ir/v/%D8%A7%DB%8C%DA%A9%D8%B3-%DB%B2%DB%B2-%D9%BE%D8%B1%D9%88-%D8%AF%D9%86%D8%AF%D9%87-%D8%A7%DB%8C/gaANvagL?tracker_session_id=aac870a1-fe81-441f-a9e4-d5e30d5886f4_gaANvagL_N
ام وی ام X22pro MT,۱۴۰۳ - ۲۰۲۴,۴۰۰۰۰,"۲,۲۰۰,۰۰۰,۰۰۰ تومان",۸ ماه,دنده‌ای,سالم و پلمپ,سالم,سالم و بی‌خط و خش,سالم و پلمپ,https://divar.ir/v/%D8%A7%DB%8C%DA%A9%D8%B3-%DB%B2%DB%B2-%D9%BE%D8%B1%D9%88-%D8%AF%D9%86%D8%AF%D9%87-%D8%A7%DB%8C-%D8%B3%D9%81%DB%8C%D8%AF-%D9%85%D8%B4%D8%A7%D8%A8%D9%87-%D8%B5%D9%81%D8%B1/gaGJLNu9?tracker_session_id=aac870a1-fe81-441f-a9e4-d5e30d5886f4_gaGJLNu9_N
ام‌وی‌ام X22 Pro IE,۱۴۰۱ - ۲۰۲۲,۷۶۰۰۰,"۲,۱۰۰,۰۰۰,۰۰۰ تومان",۶ ماه,اتوماتیک,سالم و پلمپ,سالم,سالم و بی‌خط و خش,تعیین‌نشده,https://divar.ir/v/x22-pro-%D8%A7%D8%AA%D9%88%D9%85%D8%A7%D8%AA/gaGBtCR3?tracker_session_id=aac870a1-fe81-441f-a9e4-d5e30d5886f4_gaGBtCR3_N
ام وی ام X22pro MT,۱۴۰۲ - ۲۰۲۳,۶۳۰۰۰,"۲,۴۲۰,۰۰۰,۰۰۰ تومان",۳ ماه,اتوماتیک,سالم و پلمپ,سالم,سالم و بی‌خط و خش,سالم و پلمپ,https://divar.ir/v/%D8%A7%D9%85-%D9%88%DB%8C-%D8%A7%D9%85-x22%D9%BE%D8%B1%D9%88-%D8%A7%D8%AA%D9%88%D9%85%D8%A7%D8%AA%DB%B1%DB%B4%DB%B0%DB%B2/gaGphyoZ?tracker_session_id=aac870a1-fe81-441f-a9e4-d5e30d5886f4_gaGphyoZ_N
ام وی ام X22pro MT,۱۴۰۲ - ۲۰۲۳,۳۰۰۰۰,"۲,۲۳۰,۰۰۰,۰۰۰ تومان",۷ ماه,دنده‌ای,سالم و پلمپ,سالم,خط و خش جزیی,سالم و پلمپ,https://divar.ir/v/mvm-x-22-pro/gaGRRY4H?tracker_session_id=aac870a1-fe81-441f-a9e4-d5e30d5886f4_gaGRRY4H_N
ام‌وی‌ام X22 اتوماتیک اسپرت اکسلنت,۱۳۹۹ - ۲۰۲۰,۹۸۰۰۰,"۱,۷۵۰,۰۰۰,۰۰۰ تومان",۴ ماه,اتوماتیک,سالم و پلمپ,سالم,سالم و بی‌خط و خش,سالم و پلمپ,https://divar.ir/v/%D8%A7%D9%85-%D9%88%DB%8C-%D8%A7%D9%85x22-%D8%A7%D8%AA%D9%88%D9%85%D8%A7%D8%AA-%D9%85%D8%AF%D9%84-%DB%B1%DB%B3%DB%B9%DB%B9-%D8%A8%DB%8C-%D8%B1%D9%86%DA%AF-%DA%AF%DB%8C%D8%B1%D8%A8%DA%A9%D8%B3at/gaGBh25J?tracker_session_id=aac870a1-fe81-441f-a9e4-d5e30d5886f4_gaGBh25J_N
