brand_model,year,mileage,price,insurance,gearbox_type,gearbox_health,motor_status,body_status,chassis_status,url
پژو 206 تیپ ۲,۱۳۸۴ - ۲۰۰۵,۱۲۳۴,"۵۷۵,۰۰۰,۰۰۰ تومان",,دنده‌ای,سالم و پلمپ,سالم,رنگ‌شدگی در ۱ ناحیه,سالم و پلمپ,https://divar.ir/v/%DB%B2%DB%B0%DB%B6-%D9%85%D8%AF%D9%84-%DB%B8%DB%B4-%D8%B4%D8%A7%D8%B3%DB%8C-%D9%BE%D9%84%D9%85%D9%BE-%D8%AA%D8%A7%D8%B2%D9%87-%D8%AA%D8%B9%D9%85%DB%8C%D8%B1/gaHN2IL7?tracker_session_id=1cfdfb1c-eaa5-4bd3-af04-1940f815e4dd_gaHN2IL7_N
پژو 206 تیپ ۲,۱۳۹۹ - ۲۰۲۰,۹۴۰۰۰,"۱,۲۰۰,۰۰۰,۰۰۰ تومان",۴ ماه,دنده‌ای,سالم و پلمپ,سالم,سالم و بی‌خط و خش,سالم و پلمپ,https://divar.ir/v/%D9%BE%DA%98%D9%88-206-%D9%85%D8%AF%D9%84-99/gaHdVqXi?tracker_session_id=1cfdfb1c-eaa5-4bd3-af04-1940f815e4dd_gaHdVqXi_N
پژو 206 SD V1,۱۳۸۸ - ۲۰۰۹,۳۶۰۰۰۰,"۸۵۰,۰۰۰,۰۰۰ تومان",۶ ماه,دنده‌ای,سالم و پلمپ,سالم,خط و خش جزیی,سالم و پلمپ,https://divar.ir/v/%D9%BE%DA%98%D9%88-%DB%B2%DB%B0%DB%B6-%D8%A7%D8%B3-%D8%AF%DB%8C-%D9%85%D9%88%D8%AA%D9%88%D8%B1-%D8%A8%D8%B2%D8%B1%DA%AF-v1/gaHpGjP1?tracker_session_id=1cfdfb1c-eaa5-4bd3-af04-1940f815e4dd_gaHpGjP1_N
پژو 206 تیپ ۲,۱۳۸۷ - ۲۰۰۸,۰,"۷۲۰,۰۰۰ تومان",۶ ماه,دنده‌ای,سالم و پلمپ,سالم,رنگ‌شدگی در ۱ ناحیه,ضربه‌خورده,https://divar.ir/v/%DB%B2%DB%B0%DB%B6%D9%85%D8%AF%D9%84-%DB%B8%DB%B7/gaH1FuU0?tracker_session_id=1cfdfb1c-eaa5-4bd3-af04-1940f815e4dd_gaH1FuU0_N
پژو 206 تیپ ۵,۱۳۹۳ - ۲۰۱۴,۱۰۰۰۰۰,"۹۴۰,۰۰۰,۰۰۰ تومان",۱۱ ماه,دنده‌ای,سالم و پلمپ,سالم,رنگ‌شدگی در ۲ ناحیه,سالم و پلمپ,https://divar.ir/v/%D9%BE%DA%98%D9%88206%D9%85%D8%AF%D9%8493%D8%A7%D8%B3-%D8%AF%DB%8C-%D8%AA%DB%8C%D9%BE5-%D9%88-%D9%85%D8%B9%D8%A7%D9%88%D8%B6%D9%87/gaENNZV-?tracker_session_id=1cfdfb1c-eaa5-4bd3-af04-1940f815e4dd_gaENNZV-_N
پژو 206 تیپ ۲,۱۳۹۷ - ۲۰۱۸,۱۸۰۰۰۰,"۱,۰۶۰,۰۰۰,۰۰۰ تومان",۳ ماه,دنده‌ای,سالم و پلمپ,سالم,خط و خش جزیی,سالم و پلمپ,https://divar.ir/v/206%D9%85%D8%AF%D9%8497-%D8%AA%DB%8C%D9%BE-%D8%AF%D9%88tu3/gako0UaV?tracker_session_id=1cfdfb1c-eaa5-4bd3-af04-1940f815e4dd_gako0UaV_N
پژو 206 SD V8,۱۳۹۶ - ۲۰۱۷,۱۹۰۰۰۰,"۱,۲۵۰,۰۰۰,۰۰۰ تومان",,دنده‌ای,سالم و پلمپ,سالم,سالم و بی‌خط و خش,تعیین‌نشده,https://divar.ir/v/%D9%BE%DA%98%D9%88-206/gaHJmYgo?tracker_session_id=1cfdfb1c-eaa5-4bd3-af04-1940f815e4dd_gaHJmYgo_N
پژو 206 تیپ ۳,۱۳۸۳ - ۲۰۰۴,۶۵۰۰۰۰,"۴۹۰,۰۰۰,۰۰۰ تومان",۱۰ ماه,دنده‌ای,تعمیر شده,سالم,تمام‌رنگ,سالم و پلمپ,https://divar.ir/v/206-%D9%85%D8%AF%D9%8483-%D8%AA%DB%8C%D9%BE-3-%D9%85%D8%B9%D8%A7%D9%88%D8%B6%D9%87/gaHBG88Q?tracker_session_id=1cfdfb1c-eaa5-4bd3-af04-1940f815e4dd_gaHBG88Q_N
,۱۳۹۳ - ۲۰۱۴,۱۶۷۰۰۰,,,,,,,,https://divar.ir/v/%D9%81%D8%B1%D9%88%D8%B4%DB%8C/gaHdVcc-?tracker_session_id=1cfdfb1c-eaa5-4bd3-af04-1940f815e4dd_gaHdVcc-_N
پژو 206 تیپ ۶,۱۳۸۹ - ۲۰۱۰,۳۱۰۰۰۰,"۸۶۰,۰۰۰,۰۰۰ تومان",,دنده‌ای,,تعیین‌نشده,دوررنگ,سالم و پلمپ,https://divar.ir/v/206-%D8%AA%DB%8C%D9%BE-6%D9%85%D8%AF%D9%84-1389/gaHR2Ukr?tracker_session_id=1cfdfb1c-eaa5-4bd3-af04-1940f815e4dd_gaHR2Ukr_N
