brand_model,year,mileage,price,insurance,gearbox_type,gearbox_health,motor_status,body_status,chassis_status,url
پژو پارس سال,۱۳۹۹ - ۲۰۲۰,۷۵۰۰۰,"۱,۴۲۰,۰۰۰,۰۰۰ تومان",۱۲ ماه,دنده‌ای,سالم و پلمپ,سالم,سالم و بی‌خط و خش,سالم و پلمپ,https://divar.ir/v/%D9%BE%D8%A7%D8%B1%D8%B3-%D8%B3%D8%A7%D9%84-%D9%85%D8%AF%D9%84-%DB%B9%DB%B9-%D8%AF%D8%B1-%D8%AD%D8%AF-%D8%AE%D8%B4%DA%A9/gaHVGViJ?tracker_session_id=1f11a62e-30cd-475d-b9dd-ad7a2981b120_gaHVGViJ_N
پژو پارس اتوماتیک TU5,۱۳۹۱ - ۲۰۱۲,۲۱۴۰۰۰,"۱,۱۵۰,۰۰۰,۰۰۰ تومان",,اتوماتیک,سالم و پلمپ,سالم,خط و خش جزیی,سالم و پلمپ,https://divar.ir/v/%D9%BE%DA%98%D9%88-%D9%BE%D8%A7%D8%B1%D8%B3-%D8%A7%D8%AA%D9%88%D9%85%D8%A7%D8%AA/gaHZHgDX?tracker_session_id=1f11a62e-30cd-475d-b9dd-ad7a2981b120_gaHZHgDX_N
پژو پارس LX TU5,۱۴۰۰ - ۲۰۲۱,۱۳۷۰۰۰,"۱,۴۳۰,۰۰۰,۰۰۰ تومان",۷ ماه,دنده‌ای,,سالم,سالم و بی‌خط و خش,سالم و پلمپ,https://divar.ir/v/%D9%BE%D8%A7%D8%B1%D8%B3tu5/gaH5WH7H?tracker_session_id=1f11a62e-30cd-475d-b9dd-ad7a2981b120_gaH5WH7H_N
,,,,,,,,,,https://divar.ir/v/%D9%BE%DA%98%D9%88-%D9%BE%D8%A7%D8%B1%D8%B3-%D9%85%D9%88%D8%AA%D9%88%D8%B1-%D8%AC%D8%AF%DB%8C%D8%AF-%D8%B3%DB%8C%D9%85%DB%8C1402/gaEx_wQN?tracker_session_id=1f11a62e-30cd-475d-b9dd-ad7a2981b120_gaEx_wQN_N
پژو پارس ELX,۱۴۰۲ - ۲۰۲۳,۷۲۰۰۰,"۱,۹۰۰,۰۰۰,۰۰۰ تومان",۹ ماه,دنده‌ای,سالم و پلمپ,سالم,سالم و بی‌خط و خش,سالم و پلمپ,https://divar.ir/v/%D9%BE%D8%A7%D8%B1%D8%B3-%D8%AA%D9%85%D8%A7%D9%85-%D9%81%D9%88%D9%84-%D9%81%D9%82%D8%B7-%D9%85%D8%B9%D8%A7%D9%88%D8%B6%D9%87-%D8%A8%D8%A7-%D8%AA%D8%A7%DA%A9%D8%B3%DB%8C/gaHp292E?tracker_session_id=1f11a62e-30cd-475d-b9dd-ad7a2981b120_gaHp292E_N
پژو پارس ساده,۱۳۸۲ - ۲۰۰۳,۳۵۰۰۰۰,"۴۵۰,۰۰۰,۰۰۰ تومان",۶ ماه,دنده‌ای,سالم و پلمپ,سالم,سالم و بی‌خط و خش,سالم و پلمپ,https://divar.ir/v/%D9%BE%DA%98%D9%88-%D9%BE%D8%A7%D8%B1%D8%B3-%DB%B1%DB%B3%DB%B8%DB%B2%D9%BE%D9%88%D9%84-%D9%84%D8%A7%D8%B2%D9%85/gaGRxR_H?tracker_session_id=1f11a62e-30cd-475d-b9dd-ad7a2981b120_gaGRxR_H_N
پژو پارس XU7,۱۳۸۹ - ۲۰۱۰,۲۳۰۰۰۰,"۷۷۰,۰۰۰,۰۰۰ تومان",۴ ماه,دنده‌ای,سالم و پلمپ,سالم,رنگ‌شدگی در ۱ ناحیه,سالم و پلمپ,https://divar.ir/v/%D9%BE%DA%98%D9%88-%D9%BE%D8%A7%D8%B1%D8%B3-%D9%85%D8%AF%D9%84-%DB%B8%DB%B9-%D9%86%D9%82%D8%B1%D9%87-%D8%A7%DB%8C-%D8%AF%D8%A7%D8%B4%D8%A8%D9%88%D8%B1%D8%AF-%DA%A9%D8%B1%D9%85/gaGNyEsB?tracker_session_id=1f11a62e-30cd-475d-b9dd-ad7a2981b120_gaGNyEsB_N
پژو پارس سال,۱۳۹۵ - ۲۰۱۶,۱۶۰,"۱,۳۰۰,۰۰۰,۰۰۰ تومان",۶ ماه,دنده‌ای,سالم و پلمپ,سالم,سالم و بی‌خط و خش,سالم و پلمپ,https://divar.ir/v/%D9%BE%DA%98%D9%88-%D9%BE%D8%A7%D8%B1%D8%B3/ga98yJ1T?tracker_session_id=1f11a62e-30cd-475d-b9dd-ad7a2981b120_ga98yJ1T_N
پژو پارس XU7,۱۳۹۶ - ۲۰۱۷,۲۲۰۰۰۰,"۱,۱۵۵,۰۰۰,۰۰۰ تومان",۶ ماه,دنده‌ای,سالم و پلمپ,سالم,رنگ‌شدگی در ۳ ناحیه,سالم و پلمپ,https://divar.ir/v/%D9%BE%D8%A7%D8%B1%D8%B3-%DB%B9%DB%B6-xu7/gaHFnP7V?tracker_session_id=1f11a62e-30cd-475d-b9dd-ad7a2981b120_gaHFnP7V_N
پژو پارس سال,۱۳۸۶ - ۲۰۰۷,۵۰۰۰۰۰,"۶۳۰,۰۰۰,۰۰۰ تومان",۳ ماه,دنده‌ای,سالم و پلمپ,سالم,دوررنگ,ضربه‌خورده,https://divar.ir/v/%D9%88%D8%B3%DB%8C%D9%84%D9%87-%D9%86%D9%82%D9%84%DB%8C%D9%87/gaHNms65?tracker_session_id=1f11a62e-30cd-475d-b9dd-ad7a2981b120_gaHNms65_N
پژو پارس ELX XUM,۱۳۹۴ - ۲۰۱۵,۲۱۵۰۰۰,"۹۹۸,۰۰۰,۰۰۰ تومان",۱۰ ماه,دنده‌ای,سالم و پلمپ,سالم,سالم و بی‌خط و خش,سالم و پلمپ,https://divar.ir/v/%D9%BE%D8%A7%D8%B1%D8%B3-%D9%85%D8%AF%D9%84-94/gaHF3som?tracker_session_id=1f11a62e-30cd-475d-b9dd-ad7a2981b120_gaHF3som_N
,,,,,,,,,,https://divar.ir/v/%D9%BE%D8%A7%D8%B1%D8%B3-%D8%B3%D8%A7%D9%84/gaHJGBfV?tracker_session_id=1f11a62e-30cd-475d-b9dd-ad7a2981b120_gaHJGBfV_N
پژو پارس XU7,۱۳۸۱ - ۲۰۰۲,۲۰۰۰۰۰,"۴۷۰,۰۰۰,۰۰۰ تومان",۶ ماه,دنده‌ای,سالم و پلمپ,سالم,تمام‌رنگ,رنگ‌شده,https://divar.ir/v/%D9%BE%D8%A7%D8%B1%D8%B3-%D9%85%D8%B4%DA%A9%DB%8C/gaGJwbzq?tracker_session_id=1f11a62e-30cd-475d-b9dd-ad7a2981b120_gaGJwbzq_N
پژو پارس سال,۱۳۹۳ - ۲۰۱۴,۲۹۵۰۰۰,"۱,۰۰۰ تومان",۷ ماه,دنده‌ای,,سالم,رنگ‌شدگی در ۱ ناحیه,تعیین‌نشده,https://divar.ir/v/%D9%BE%D8%A7%D8%B1%D8%B3-%D8%B3%D8%A7%D9%84-%D9%85%D8%AF%D9%84-%DB%B9%DB%B3/ga6YzaN1?tracker_session_id=1f11a62e-30cd-475d-b9dd-ad7a2981b120_ga6YzaN1_N
پژو پارس سال,۱۳۹۰ - ۲۰۱۱,۲۱۳۰۰۰,"۷۷۰,۰۰۰,۰۰۰ تومان",۱۱ ماه,دنده‌ای,سالم و پلمپ,سالم,رنگ‌شدگی در ۱ ناحیه,سالم و پلمپ,https://divar.ir/v/%D9%BE%DA%98%D9%88-%D9%BE%D8%A7%D8%B1%D8%B3-%D8%B3%D8%A7%D9%84-%D8%A8%D8%B3%DB%8C%D8%A7%D8%B1-%D8%AA%D9%85%DB%8C%D8%B2-%D8%B3%D9%86%D8%AF-%D8%AF%D8%B3%D8%AA-%D8%A7%D9%88%D9%84-%DA%A9%D9%85-%DA%A9%D8%A7%D8%B1/ga24rnOk?tracker_session_id=1f11a62e-30cd-475d-b9dd-ad7a2981b120_ga24rnOk_N
پژو پارس XU7,۱۳۸۹ - ۲۰۱۰,۴۰۰۰۰۰,"۸۸۰,۰۰۰,۰۰۰ تومان",۴ ماه,دنده‌ای,سالم و پلمپ,تعویض شده,رنگ‌شدگی در ۱ ناحیه,سالم و پلمپ,https://divar.ir/v/%D9%BE%D8%A7%D8%B1%D8%B3-%DB%B8%DB%B9/gaHZm0rT?tracker_session_id=1f11a62e-30cd-475d-b9dd-ad7a2981b120_gaHZm0rT_N
