brand_model,year,mileage,price,insurance,gearbox_type,gearbox_health,motor_status,body_status,chassis_status,url
پراید 131 دوگانه سوز,۱۳۸۸ - ۲۰۰۹,۲۶۰۰۰۰,"۴۲۰,۰۰۰,۰۰۰ تومان",,دنده‌ای,سالم و پلمپ,سالم,صافکاری بی‌رنگ,تعیین‌نشده,https://divar.ir/v/%D9%BE%D8%B1%D8%A7%DB%8C%D8%AF-88-%D8%AF%D9%88%DA%AF%D8%A7%D9%86%D9%87-%D8%B4%D8%B1%DA%A9%D8%AA%DB%8C-%DA%A9%D9%85-%DA%A9%D8%A7%D8%B1/gaHtmiw9?tracker_session_id=26be204d-5bda-40e9-9402-9b3b9ac9a5a1_gaHtmiw9_N
پراید 131 SE,۱۳۸۳ - ۲۰۰۴,۰,"۳۰۰,۰۰۰,۰۰۰ تومان",۹ ماه,دنده‌ای,سالم و پلمپ,سالم,سالم و بی‌خط و خش,سالم و پلمپ,https://divar.ir/v/%D9%BE%D8%B1%D8%A7%DB%8C%D8%AF-83-%D8%B3%D8%A7%D9%84%D9%85-%D8%A8%D8%AF%D9%86-%D8%A7%DB%8C%D8%B1%D8%A7%D8%AF-%D8%B3%D8%A7%D9%84%D9%85-%D8%AF%D8%B1%D8%AD%D8%AF/gaGFR7tz?tracker_session_id=26be204d-5bda-40e9-9402-9b3b9ac9a5a1_gaGFR7tz_N
پراید 131 SE,۱۳۸۷ - ۲۰۰۸,۵۸۰۰۰۰,"۴۰۹,۰۰۰,۰۰۰ تومان",۷ ماه,دنده‌ای,سالم و پلمپ,سالم,دوررنگ,ضربه‌خورده,https://divar.ir/v/%D9%BE%D8%B1%D8%A7%DB%8C%D8%AF-%D8%B5%D8%A8%D8%A7-%D9%85%D8%AF%D9%84-87-%D9%87%DB%8C%D8%AF%D8%B1%D9%88%D9%84%DB%8C%DA%A9-%DA%A9%D8%A7%D8%B1%D8%AE%D8%A7%D9%86%D9%87/gaH1Gsdv?tracker_session_id=26be204d-5bda-40e9-9402-9b3b9ac9a5a1_gaH1Gsdv_N
پراید 131 EX,۱۳۸۱ - ۲۰۰۲,۲۳۰۰۰۰,"۲,۸۰۰,۰۰۰,۰۰۰ تومان",,دنده‌ای,سالم و پلمپ,سالم,خط و خش جزیی,سالم و پلمپ,https://divar.ir/v/%D9%BE%D8%B1%D8%A7%DB%8C%D8%AF%DB%B1%DB%B3%DB%B1/gaHVlq8C?tracker_session_id=26be204d-5bda-40e9-9402-9b3b9ac9a5a1_gaHVlq8C_N
پراید 131 SE,۱۳۸۶ - ۲۰۰۷,۱۰۱۰۱۵,"۱۱۱,۰۰۰,۰۰۰ تومان",۱۲ ماه,دنده‌ای,سالم و پلمپ,سالم,دوررنگ,سالم و پلمپ,https://divar.ir/v/%D9%BE%D8%B1%D8%A7%DB%8C%D8%AF-%D8%B4%D8%A7%D8%B3%D8%A8-%D9%BE%D9%84%D9%85%D9%BE-%D9%87%D9%85%D9%87-%DA%86%DB%8C-%D8%AA%D9%85%D9%88%D9%85/gaGF2uaB?tracker_session_id=26be204d-5bda-40e9-9402-9b3b9ac9a5a1_gaGF2uaB_P
پراید 131 SE,۱۳۸۷ - ۲۰۰۸,۴۹۰۰۰۰,"۴۰۰,۰۰۰,۰۰۰ تومان",۱۱ ماه,دنده‌ای,سالم و پلمپ,سالم,دوررنگ,رنگ‌شده,https://divar.ir/v/%D9%BE%D8%B1%D8%A7%DB%8C%D8%AF-131%D8%AF%D9%88%DA%AF%D8%A7%D9%86%D9%87-%D8%B4%D8%B1%DA%A9%D8%AA%DB%8C/gaHJXzFk?tracker_session_id=26be204d-5bda-40e9-9402-9b3b9ac9a5a1_gaHJXzFk_N
پراید 131 SL,۱۳۹۰ - ۲۰۱۱,۳۵۰۰۰۰,"۴۸۰,۰۰۰,۰۰۰ تومان",۱۰ ماه,دنده‌ای,سالم و پلمپ,سالم,خط و خش جزیی,تعیین‌نشده,https://divar.ir/v/%D9%BE%D8%B1%D8%A7%DB%8C%D8%AF-%D9%85%D8%AF%D9%84-%DB%B9%DB%B0-sl/gaEVKmoD?tracker_session_id=26be204d-5bda-40e9-9402-9b3b9ac9a5a1_gaEVKmoD_N
پراید 131 SL,۱۳۹۰ - ۲۰۱۱,۱۴۰۰۰۰,"۵۷۰,۰۰۰,۰۰۰ تومان",۱۲ ماه,دنده‌ای,سالم و پلمپ,سالم,خط و خش جزیی,سالم و پلمپ,https://divar.ir/v/%D9%81%D8%B1%D9%88%D8%B4-%D8%AE%D9%88%D8%AF%D8%B1%D9%88-%D9%BE%D8%B1%D8%A7%DB%8C%D8%AF/gaHxVae5?tracker_session_id=26be204d-5bda-40e9-9402-9b3b9ac9a5a1_gaHxVae5_N
پراید 131 SE,۱۳۷۵ - ۱۹۹۶,۱۰۰۰۰۰۰,"۲۲۰,۰۰۰,۰۰۰ تومان",۵ ماه,دنده‌ای,سالم و پلمپ,سالم,رنگ‌شدگی در ۲ ناحیه,ضربه‌خورده,https://divar.ir/v/%D9%BE%D8%B1%D8%A7%DB%8C%D8%AF-%D9%85%D8%AF%D9%84-%DB%B7%DB%B5/gaykEKUJ?tracker_session_id=26be204d-5bda-40e9-9402-9b3b9ac9a5a1_gaykEKUJ_N
پراید 131 EX,۱۳۹۰ - ۲۰۱۱,۱۶۰۰۰۰,"۴۴۳,۰۰۰,۰۰۰ تومان",۶ ماه,دنده‌ای,سالم و پلمپ,سالم,سالم و بی‌خط و خش,سالم و پلمپ,https://divar.ir/v/%D9%BE%D8%B1%D8%A7%DB%8C%D8%AF-131-%D8%B9%D8%B1%D9%88%D8%B3%DA%A9/gaGRh8nE?tracker_session_id=26be204d-5bda-40e9-9402-9b3b9ac9a5a1_gaGRh8nE_N
