brand_model,year,mileage,price,insurance,gearbox_type,gearbox_health,motor_status,body_status,chassis_status,url
کوییک GXR تیپ L,۱۴۰۲ - ۲۰۲۳,۴۸۰۰۰,"۱,۱۰۰,۰۰۰,۰۰۰ تومان",۸ ماه,دنده‌ای,,سالم,سالم و بی‌خط و خش,تعیین‌نشده,https://divar.ir/v/%DA%A9%D9%88%DB%8C%DB%8C%DA%A9-gxr-l/gaHBXTZR?tracker_session_id=f0d301b0-3ef9-4cf4-b63f-8614d92795f2_gaHBXTZR_N
کوییک دنده‌ای S,۱۳۹۹ - ۲۰۲۰,۸۲۰۰۰,"۸۶۵,۰۰۰,۰۰۰ تومان",,دنده‌ای,سالم و پلمپ,سالم,سالم و بی‌خط و خش,سالم و پلمپ,https://divar.ir/v/%DA%A9%D9%88%DB%8C%DB%8C%DA%A9-%D9%85%D8%AF%D9%84%DB%B1%DB%B3%DB%B9%DB%B9%D8%A8%DB%8C-%D8%B1%D9%86%DA%AF-%D9%81%D9%88%D9%82-%D8%A7%D9%84%D8%B9%D8%A7%D8%AF%D9%87-%D8%B3%D8%A7%D9%84%D9%85-%D9%BE%D8%A7%D8%B1%D8%B3-%D8%AE%D9%88%D8%AF%D8%B1%D9%88%DB%8C%DB%8C/gaH1lo-z?tracker_session_id=f0d301b0-3ef9-4cf4-b63f-8614d92795f2_gaH1lo-z_N
کوییک دنده‌ای ساده,۱۳۹۸ - ۲۰۱۹,۱۰۸۰۰۰,"۸۳۰,۰۰۰,۰۰۰ تومان",۱۰ ماه,دنده‌ای,سالم و پلمپ,سالم,سالم و بی‌خط و خش,سالم و پلمپ,https://divar.ir/v/%DA%A9%D9%88%DB%8C%DB%8C%DA%A9-%D9%85%D8%AF%D9%84-%DB%B9%DB%B8-%D8%A8%DB%8C-%D8%B1%D9%86%DA%AF/gaEladLh?tracker_session_id=f0d301b0-3ef9-4cf4-b63f-8614d92795f2_gaEladLh_N
کوییک دنده‌ای R,۱۴۰۵ - ۲۰۲۶,۰,"۱,۱۸۵,۰۰۰,۰۰۰ تومان",,دنده‌ای,سالم و پلمپ,سالم,سالم و بی‌خط و خش,سالم و پلمپ,https://divar.ir/v/%DA%A9%D9%88%DB%8C%DB%8C%DA%A9-%D8%B5%D9%81%D8%B1-1405/gaCJ0RC6?tracker_session_id=f0d301b0-3ef9-4cf4-b63f-8614d92795f2_gaCJ0RC6_N
کوییک دنده‌ای S,۱۴۰۴ - ۲۰۲۵,۸۰,"۱,۰۰۰ تومان",,دنده‌ای,,تعیین‌نشده,سالم و بی‌خط و خش,سالم و پلمپ,https://divar.ir/v/%DA%A9%D9%88%D8%A6%DB%8C%DA%A9-%D9%81%D9%88%D9%84-%D8%B5%D9%81%D8%B1-%D8%AF%D8%A7%D8%B1%D8%A7%DB%8C-%D8%A7%D8%B3%D8%AA%D8%A7%D9%86%D8%AF%D8%A7%D8%B1%D8%AF-%DB%B8%DB%B5-%DA%AF%D8%A7%D9%86%D9%87-%D9%85%D8%AF%D9%84-%DB%B1%DB%B4%DB%B0%DB%B4/gaHBFz_u?tracker_session_id=f0d301b0-3ef9-4cf4-b63f-8614d92795f2_gaHBFz_u_N
کوییک دنده‌ای ساده,۱۴۰۱ - ۲۰۲۲,۱۰۰۰۰۰,"۸۹۰,۰۰۰,۰۰۰ تومان",,,,سالم,سالم و بی‌خط و خش,سالم و پلمپ,https://divar.ir/v/%DA%A9%D9%88%DB%8C%DB%8C%DA%A9-%DB%B1%DB%B4%DB%B0%DB%B1-%D8%B1%D9%86%DA%AF-%D8%AE%D8%A7%D8%B5-%D9%82%DB%8C%D9%85%D8%AA-%D9%85%D9%86%D8%A7%D8%B3%D8%A8/ga2czfIK?tracker_session_id=f0d301b0-3ef9-4cf4-b63f-8614d92795f2_ga2czfIK_P
کوییک GX تیپ L,۱۴۰۴ - ۲۰۲۵,۵۱,"۱,۱۸۵,۰۰۰,۰۰۰ تومان",۵ ماه,دنده‌ای,سالم و پلمپ,سالم,سالم و بی‌خط و خش,سالم و پلمپ,https://divar.ir/v/%DA%A9%D9%88%DB%8C%DB%8C%DA%A9-gxl-%D8%B5%D9%81%D8%B1-%D9%85%D8%AF%D9%84%DB%B1%DB%B4%DB%B0%DB%B4-%D8%A8%D8%A7-%DA%A9%D8%A7%D8%B1%D8%AA-%D8%B7%D9%84%D8%A7%DB%8C%DB%8C-%D9%88-%D8%B1%D8%AF%DB%8C%D8%A7%D8%A8-%D8%B4%D8%B1%DA%A9%D8%AA%DB%8C/gaGNvRet?tracker_session_id=f0d301b0-3ef9-4cf4-b63f-8614d92795f2_gaGNvRet_N
,,,,,,,,,,https://divar.ir/v/%DA%A9%D9%88%DB%8C%DB%8C%DA%A9-%D8%B3%D9%81%DB%8C%D8%AF-%D8%AF%D8%B1-%D8%AD%D8%AF/gaBNB8N3?tracker_session_id=f0d301b0-3ef9-4cf4-b63f-8614d92795f2_gaBNB8N3_N
,,,,,,,,,,https://divar.ir/v/%DA%A9%D9%88%D8%A6%DB%8C%DA%A9-s-%D9%85%D8%AF%D9%84-%DB%B1%DB%B4%DB%B0%DB%B4/gaH9E9bK?tracker_session_id=f0d301b0-3ef9-4cf4-b63f-8614d92795f2_gaH9E9bK_N
کوییک GX تیپ L,۱۴۰۵ - ۲۰۲۶,۰,"۱,۲۰۰,۰۰۰,۰۰۰ تومان",۱۲ ماه,دنده‌ای,سالم و پلمپ,سالم,سالم و بی‌خط و خش,سالم و پلمپ,https://divar.ir/v/%DA%A9%D9%88%DB%8C%DB%8C%DA%A9-%DB%B4%DB%B0%DB%B5-%D8%AA%D8%AD%D9%88%DB%8C%D9%84-%D8%B1%D9%88%D8%B2/gaEVrs4j?tracker_session_id=f0d301b0-3ef9-4cf4-b63f-8614d92795f2_gaEVrs4j_N
