brand_model,year,mileage,price,insurance,gearbox_type,gearbox_health,motor_status,body_status,chassis_status,url
,,,,,,,,,,https://divar.ir/v/%D8%A7%D9%84-%D9%86%D9%88%D8%AF-%DB%B9%DB%B6/ga-QjY44?tracker_session_id=fe2ac28d-e7b4-4bde-860b-871906962000_ga-QjY44_N
رنو تندر 90 (L90 لوگان) E2,۱۳۹۶ - ۲۰۱۷,۱۲۰۰۰۰,"۱,۶۹۰,۰۰۰,۰۰۰ تومان",۱۲ ماه,دنده‌ای,سالم و پلمپ,سالم,سالم و بی‌خط و خش,سالم و پلمپ,https://divar.ir/v/%D8%A7%D9%84-e2-90-%D9%85%D8%AF%D9%84-96-120%DA%A9%D8%A7%D8%B1/gaA5QMeJ?tracker_session_id=fe2ac28d-e7b4-4bde-860b-871906962000_gaA5QMeJ_N
رنو تندر 90 (L90 لوگان) اتوماتیک,۱۳۹۳ - ۲۰۱۴,۲۰۰۰۰۰,"۱,۱۰۰,۰۰۰,۰۰۰ تومان",,اتوماتیک,سالم و پلمپ,سالم,سالم و بی‌خط و خش,سالم و پلمپ,https://divar.ir/v/%D8%A7%D9%84%DB%B9%DB%B0-%D8%A7%D8%AA%D9%88%D9%85%D8%A7%D8%AA/gaE9pVZF?tracker_session_id=fe2ac28d-e7b4-4bde-860b-871906962000_gaE9pVZF_N
رنو تندر 90 (L90 لوگان) E1,۱۳۸۹ - ۲۰۱۰,۱۶۰۰۰۰,"۸۸۰,۰۰۰,۰۰۰ تومان",۱۰ ماه,دنده‌ای,سالم و پلمپ,سالم,رنگ‌شدگی در ۱ ناحیه,سالم و پلمپ,https://divar.ir/v/%D8%A7%D9%84-%DB%B9%DB%B0-%D9%85%D8%AF%D9%84-%DB%B8%DB%B9/gaHpWDcW?tracker_session_id=fe2ac28d-e7b4-4bde-860b-871906962000_gaHpWDcW_N
,,,,,,,,,,https://divar.ir/v/%D8%B1%D9%86%D9%88-%D8%AA%D9%86%D8%AF%D8%B1-%D8%A7%D9%84-%DB%B9%DB%B0-%D9%85%D8%AF%D9%84-%DB%B8%DB%B7/gaGJm2lE?tracker_session_id=fe2ac28d-e7b4-4bde-860b-871906962000_gaGJm2lE_N
رنو تندر 90 پلاس اتوماتیک,۱۳۹۷ - ۲۰۱۸,۱۱۵۰۰۰,"۲,۲۰۰,۰۰۰,۰۰۰ تومان",۸ ماه,اتوماتیک,سالم و پلمپ,سالم,سالم و بی‌خط و خش,سالم و پلمپ,https://divar.ir/v/%D9%85%D8%A7%D8%B4%DB%8C%D9%86-%D8%A7%D9%84-%D9%86%D9%88%D8%AF-%D8%AA%D9%86%D8%AF%D8%B1-%D9%BE%D9%84%D8%A7%D8%B3/gaG1ViMN?tracker_session_id=fe2ac28d-e7b4-4bde-860b-871906962000_gaG1ViMN_N
رنو تندر 90 (L90 لوگان) E1,۱۳۸۷ - ۲۰۰۸,۴۰۰۰۰۰,"۹۵۰,۰۰۰,۰۰۰ تومان",۵ ماه,دنده‌ای,سالم و پلمپ,سالم,خط و خش جزیی,سالم و پلمپ,https://divar.ir/v/%D8%A7%D9%84%DB%B9%DB%B0%D9%85%D8%AF%D9%84-%DB%B8%DB%B7/gax0HZYW?tracker_session_id=fe2ac28d-e7b4-4bde-860b-871906962000_gax0HZYW_N
رنو تندر 90 (L90 لوگان) E2,۱۳۹۳ - ۲۰۱۴,۲۶۴۰۰۰,"۱,۳۲۰,۰۰۰,۰۰۰ تومان",۶ ماه,دنده‌ای,سالم و پلمپ,سالم,خط و خش جزیی,سالم و پلمپ,https://divar.ir/v/l90-e2-%D9%BE%D8%A7%D8%B1%D8%B3-%D8%AE%D9%88%D8%AF%D8%B1%D9%88/gaoAOhoA?tracker_session_id=fe2ac28d-e7b4-4bde-860b-871906962000_gaoAOhoA_P
رنو تندر 90 (L90 لوگان) E1,۱۳۸۸ - ۲۰۰۹,۲۶۰۰۰۰,"۹۸۰,۰۰۰,۰۰۰ تومان",۴ ماه,دنده‌ای,سالم و پلمپ,سالم,صافکاری بی‌رنگ,سالم و پلمپ,https://divar.ir/v/%D8%A7%D9%84-90-%D9%BE%D8%A7%D8%B1%D8%B3-%D8%AE%D9%88%D8%AF%D8%B1%D9%88/gaHtmTd4?tracker_session_id=fe2ac28d-e7b4-4bde-860b-871906962000_gaHtmTd4_N
رنو تندر 90 (L90 لوگان) E2,۱۳۹۶ - ۲۰۱۷,۱۵۶۰۰۰,"۱,۳۵۰,۰۰۰,۰۰۰ تومان",۱ ماه,دنده‌ای,سالم و پلمپ,سالم,رنگ‌شدگی در ۲ ناحیه,سالم و پلمپ,https://divar.ir/v/%D9%81%D8%B1%D9%88%D8%B4-%D8%AA%D9%86%D8%AF%D8%B1-%DB%B9%DB%B0/gaHBXOyB?tracker_session_id=fe2ac28d-e7b4-4bde-860b-871906962000_gaHBXOyB_N
رنو تندر 90 (L90 لوگان) E2,۱۳۹۰ - ۲۰۱۱,۲۵۰۰۰۰,"۱,۱۰۰,۰۰۰,۰۰۰ تومان",۱۲ ماه,دنده‌ای,سالم و پلمپ,سالم,خط و خش جزیی,سالم و پلمپ,https://divar.ir/v/%D8%A7%D9%84-%D9%86%D9%88%D8%AF-%D9%85%D8%AF%D9%84-%DB%B1%DB%B3%DB%B9%DB%B0/gaGFEk0J?tracker_session_id=fe2ac28d-e7b4-4bde-860b-871906962000_gaGFEk0J_N
رنو تندر 90 (L90 لوگان) E2,۱۳۹۰ - ۲۰۱۱,۳۳۰۰۰۰,"۱,۲۹۵,۰۰۰,۰۰۰ تومان",۹ ماه,دنده‌ای,تعمیر شده,سالم,تمام‌رنگ,سالم و پلمپ,https://divar.ir/v/%D8%AE%D9%88%D8%AF%D8%B1%D9%88-%D8%A7%D9%8490%D9%85%D8%AF%D9%8490/gaCFEjkC?tracker_session_id=fe2ac28d-e7b4-4bde-860b-871906962000_gaCFEjkC_N
