brand_model,year,mileage,price,insurance,gearbox_type,gearbox_health,motor_status,body_status,chassis_status,url,condition_score
هیوندای سانتافه ix 45 2400cc,2015,180000,5850000000,0,اتوماتیک,سالم و پلمپ,سالم,سالم و بی‌خط و خش,سالم و پلمپ,https://divar.ir/v/%D8%B3%D8%A7%D9%86%D8%AA%D8%A7%D9%81%D9%87-%DB%B2%DB%B0%DB%B1%DB%B5-%D8%A7%D9%82%D8%B3%D8%A7%D8%B7-%DB%B2-%D8%A7%D9%84%DB%8C-%DB%B1%DB%B8-%D9%85%D8%A7%D9%87/gaFRCDfO?tracker_session_id=8fac5c32-b844-4d6a-b4df-47d6e4df03ba_gaFRCDfO_N,90.0
هیوندای سانتافه ix 45 2400cc,2015,130000,4890000000,6,اتوماتیک,سالم و پلمپ,سالم,رنگ‌شدگی در ۱ ناحیه,سالم و پلمپ,https://divar.ir/v/%D8%B3%D8%A7%D9%86%D8%AA%D8%A7%D9%81%D9%87-%DB%B2%DB%B0%DB%B1%DB%B5-%D9%81%D9%88%D9%84-%D8%B2%DB%8C%D8%B1-%D9%82%DB%8C%D9%85%D8%AA-%D9%81%D9%88%D8%B1%DB%8C/gaDVpH0V?tracker_session_id=8fac5c32-b844-4d6a-b4df-47d6e4df03ba_gaDVpH0V_N,80.0
هیوندای سانتافه ix 45 3500cc,2012,190000,6500000000,0,اتوماتیک,سالم و پلمپ,سالم,سالم و بی‌خط و خش,سالم و پلمپ,https://divar.ir/v/%D8%B3%D8%A7%D9%86%D8%AA%D8%A7%D9%81%D9%87-%D9%85%D8%AF%D9%84-%DB%B2%DB%B0%DB%B1%DB%B2/gaE58yAQ?tracker_session_id=8fac5c32-b844-4d6a-b4df-47d6e4df03ba_gaE58yAQ_N,90.0
هیوندای سانتافه ix 45 2700cc,2008,265000,4250000000,12,اتوماتیک,سالم و پلمپ,سالم,سالم و بی‌خط و خش,سالم و پلمپ,https://divar.ir/v/%D8%B3%D8%A7%D9%86%D8%AA%D8%A7%D9%81%D9%87-%DB%B2%DB%B0%DB%B0%DB%B8-%D9%81%D9%88%D9%84-%D8%AF%D9%88-%D8%AF%DB%8C%D9%81%D8%B1%D8%A7%D9%86%D8%B3%DB%8C%D9%84-%D8%AF%D8%B1%D8%AC%D9%87-%DB%8C%DA%A9/gaCNC3e5?tracker_session_id=8fac5c32-b844-4d6a-b4df-47d6e4df03ba_gaCNC3e5_N,90.0
هیوندای سانتافه ix 45 3500cc,2010,270000,5050000000,12,اتوماتیک,سالم و پلمپ,سالم,سالم و بی‌خط و خش,سالم و پلمپ,https://divar.ir/v/%D8%B3%D8%A7%D9%86%D8%AA%D8%A7%D9%81%D9%87-%DB%B2%DB%B0%DB%B1%DB%B0-%D9%85%D9%88%D8%AA%D9%88%D8%B1-%D8%A8%D8%B2%D8%B1%DA%AF-%D8%A8%D8%AF%D9%88%D9%86-%D8%B1%D9%86%DA%AF-%D8%AF%D8%B1%D8%AC%D9%87/gaDFZuK3?tracker_session_id=8fac5c32-b844-4d6a-b4df-47d6e4df03ba_gaDFZuK3_N,90.0
هیوندای سانتافه ix 45 2400cc,2015,226000,5250000000,10,اتوماتیک,سالم و پلمپ,سالم,سالم و بی‌خط و خش,سالم و پلمپ,https://divar.ir/v/%D8%B3%D8%A7%D9%86%D8%AA%D8%A7%D9%81%D9%87-%DB%B2%DB%B0%DB%B1%DB%B5/gaFhHd7w?tracker_session_id=8fac5c32-b844-4d6a-b4df-47d6e4df03ba_gaFhHd7w_N,90.0
هیوندای سانتافه ix 45 2400cc,2015,135000,5800000000,12,اتوماتیک,سالم و پلمپ,سالم,سالم و بی‌خط و خش,سالم و پلمپ,https://divar.ir/v/%D9%81%D8%B1%D9%88%D8%B4-%D9%85%D8%A7%D8%B4%DB%8C%D9%86/gaFNW6Xa?tracker_session_id=8fac5c32-b844-4d6a-b4df-47d6e4df03ba_gaFNW6Xa_N,90.0
هیوندای سانتافه ix 45 2400cc,2015,135000,5490000000,6,اتوماتیک,سالم و پلمپ,سالم,رنگ‌شدگی در ۲ ناحیه,سالم و پلمپ,https://divar.ir/v/%D8%B3%D8%A7%D9%86%D8%AA%D8%A7%D9%81%D9%87-%DB%B2%DB%B0%DB%B1%DB%B5-%D9%81%D9%88%D9%84-%DA%A9%D8%A7%D9%85%D9%84/gaDR5qhK?tracker_session_id=8fac5c32-b844-4d6a-b4df-47d6e4df03ba_gaDR5qhK_N,70.0
هیوندای سانتافه ix 45 2400cc,2015,170000,4400000000,8,اتوماتیک,سالم و پلمپ,سالم,سالم و بی‌خط و خش,سالم و پلمپ,https://divar.ir/v/%D8%B3%D8%A7%D9%86%D8%AA%D8%A7%D9%81%D9%87-%D8%AC%D9%81%D8%AA-%D9%81%D9%88%D9%84-%D8%A2%D9%BE%D8%B4%D9%86-%DB%B2%DB%B0%DB%B1%DB%B5-%D8%A8%DB%8C-%D8%B1%D9%86%DA%AF/gau8GT2k?tracker_session_id=8fac5c32-b844-4d6a-b4df-47d6e4df03ba_gau8GT2k_N,90.0
هیوندای سانتافه ix 45 2400cc,2015,220000,5850000000,9,اتوماتیک,سالم و پلمپ,سالم,سالم و بی‌خط و خش,سالم و پلمپ,https://divar.ir/v/%D8%B3%D8%A7%D9%86%D8%AA%D8%A7%D9%81%D9%87-%DB%B2%DB%B0%DB%B1%DB%B5-%D9%81%D9%88%D9%84-%DA%A9%D8%A7%D9%85%D9%84/gaDN9hih?tracker_session_id=8fac5c32-b844-4d6a-b4df-47d6e4df03ba_gaDN9hih_N,90.0
