year,mileage,insurance,gearbox_type,gearbox_health,motor_status,body_status,chassis_status,brand,car_age,yearly_mileage,has_insurance,price
2012.0,250000,0,دنده‌ای,سالم و پلمپ,سالم,رنگ‌شدگی در ۱ ناحیه,سالم و پلمپ,renault_tondar-90,14.0,16666.666666666668,0,860000000.0
2015.0,70000,5,اتوماتیک,سالم و پلمپ,سالم,سالم و بی‌خط و خش,سالم و پلمپ,kia_cerato,11.0,5833.333333333333,1,4790000000.0
2009.0,500000,12,دنده‌ای,سالم و پلمپ,سالم,خط و خش جزیی,ضربه‌خورده,pride_131,17.0,27777.777777777777,1,1000.0
2016.0,150000,3,دنده‌ای,سالم و پلمپ,سالم,خط و خش جزیی,سالم و پلمپ,peugeot_206,10.0,13636.363636363636,1,950000000.0
2019.0,73000,6,اتوماتیک,سالم و پلمپ,سالم,سالم و بی‌خط و خش,سالم و پلمپ,jac_s5,7.0,9125.0,1,3050000000.0
2017.0,145000,6,اتوماتیک,سالم و پلمپ,سالم,سالم و بی‌خط و خش,سالم و پلمپ,jac_s5,9.0,14500.0,1,3000000000.0
2019.0,96000,4,اتوماتیک,سالم و پلمپ,سالم,سالم و بی‌خط و خش,سالم و پلمپ,jac_s5,7.0,12000.0,1,2680000000.0
2010.0,290000,10,دنده‌ای,سالم و پلمپ,سالم,سالم و بی‌خط و خش,سالم و پلمپ,renault_tondar-90,16.0,17058.823529411766,1,1050000000.0
2008.0,280000,0,دنده‌ای,سالم و پلمپ,سالم,دوررنگ,سالم و پلمپ,renault_tondar-90,18.0,14736.842105263158,0,690000000.0
2011.0,215000,6,دنده‌ای,سالم و پلمپ,سالم,سالم و بی‌خط و خش,سالم و پلمپ,peugeot_206,15.0,13437.5,1,820000000.0
2004.0,500000,6,دنده‌ای,سالم و پلمپ,سالم,دوررنگ,سالم و پلمپ,pride_131,22.0,21739.130434782608,1,290000000.0
2009.0,310000,12,دنده‌ای,سالم و پلمپ,سالم,رنگ‌شدگی در ۱ ناحیه,سالم و پلمپ,renault_tondar-90,17.0,17222.222222222223,1,110000000.0
2022.0,74000,8,دنده‌ای,سالم و پلمپ,سالم,سالم و بی‌خط و خش,سالم و پلمپ,quick,4.0,14800.0,1,900000000.0
2019.0,130000,6,اتوماتیک,سالم و پلمپ,سالم,سالم و بی‌خط و خش,سالم و پلمپ,jac_s5,7.0,16250.0,1,2890000000.0
2018.0,230000,12,اتوماتیک,سالم و پلمپ,سالم,خط و خش جزیی,سالم و پلمپ,mvm_x22,8.0,25555.555555555555,1,1650000000.0
2013.0,210000,12,اتوماتیک,سالم و پلمپ,سالم,سالم و بی‌خط و خش,سالم و پلمپ,kia_cerato,13.0,15000.0,1,3300000000.0
2023.0,57000,11,اتوماتیک,سالم و پلمپ,سالم,سالم و بی‌خط و خش,سالم و پلمپ,mvm_x22,3.0,14250.0,1,2250000000.0
2025.0,0,0,دنده‌ای,سالم و پلمپ,سالم,سالم و بی‌خط و خش,سالم و پلمپ,kia_cerato,1.0,0.0,0,41000000.0
2017.0,160000,5,دنده‌ای,سالم و پلمپ,سالم,سالم و بی‌خط و خش,سالم و پلمپ,peugeot_pars,9.0,16000.0,1,1305000000.0
2014.0,92000,7,اتوماتیک,سالم و پلمپ,سالم,سالم و بی‌خط و خش,سالم و پلمپ,hyundai_santafe-ix45,12.0,7076.923076923077,1,3200000000.0
2010.0,360000,2,دنده‌ای,سالم و پلمپ,سالم,سالم و بی‌خط و خش,سالم و پلمپ,pride_131,16.0,21176.470588235294,1,530000000.0
2011.0,300000,9,دنده‌ای,سالم و پلمپ,سالم,دوررنگ,سالم و پلمپ,renault_tondar-90,15.0,18750.0,1,849000000.0
2022.0,103000,5,دنده‌ای,سالم و پلمپ,سالم,سالم و بی‌خط و خش,سالم و پلمپ,quick,4.0,20600.0,1,930000000.0
2018.0,180000,5,دنده‌ای,سالم و پلمپ,سالم,رنگ‌شدگی در ۳ ناحیه,سالم و پلمپ,mvm_x22,8.0,20000.0,1,1280000000.0
2018.0,85000,3,دنده‌ای,سالم و پلمپ,سالم,سالم و بی‌خط و خش,سالم و پلمپ,mvm_x22,8.0,9444.444444444445,1,1700000000.0
2018.0,156000,11,دنده‌ای,سالم و پلمپ,سالم,سالم و بی‌خط و خش,سالم و پلمپ,renault_tondar-90,8.0,17333.333333333332,1,2000000000.0
2023.0,80000,0,دنده‌ای,سالم و پلمپ,سالم,سالم و بی‌خط و خش,سالم و پلمپ,peugeot_pars,3.0,20000.0,0,1650000000.0
2019.0,62000,8,دنده‌ای,سالم و پلمپ,سالم,سالم و بی‌خط و خش,سالم و پلمپ,peugeot_206,7.0,7750.0,1,1300000000.0
2018.0,122750,12,اتوماتیک,سالم و پلمپ,سالم,سالم و بی‌خط و خش,سالم و پلمپ,hyundai_santafe-ix45,8.0,13638.888888888889,1,3700000000.0
2008.0,340000,10,اتوماتیک,سالم و پلمپ,سالم,سالم و بی‌خط و خش,سالم و پلمپ,hyundai_santafe-ix45,18.0,17894.736842105263,1,3750000000.0
2021.0,100000,3,دنده‌ای,سالم و پلمپ,سالم,سالم و بی‌خط و خش,سالم و پلمپ,peugeot_pars,5.0,16666.666666666668,1,1380000000.0
2015.0,300000,9,دنده‌ای,سالم و پلمپ,سالم,سالم و بی‌خط و خش,سالم و پلمپ,pride_131,11.0,25000.0,1,570000000.0
